repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance,risk_score,risk_level,risk_reasons
contract,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-contract_payment_mode;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
account-closing,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-account_fiscal_year_closing;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
account-financial-reporting,17.0-mig,no,yes,no,"{;  "message": "Server Error";}","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
design-themes,18.0,no,yes,no,"8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0-14.0-fix-tests-util-click-edit-gdi-llYB-fw;16.0-i18n-export-mat;16.0;17.0;18.0;backup-18.0-20260406;master;saas-6;saas-10;saas-11;saas-11.3;saas-12;saas-12.3;saas-13.5;saas-14;saas-14.1;saas-14.2;saas-14.3;saas-14.4;saas-14.5;saas-15;saas-15.1","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
multi-company,18.0,no,yes,no,"6.1;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rest-framework,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-datamodel;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
connector,18.0,no,yes,no,"7.0;8.0-ocabot-merge-pr-406-by-guewen-bump-minor;8.0-ocabot-merge-pr-406-by-gurneyalex-bump-minor;8.0;9.0;10.0;11.0;12.0;13.0;14.0-ocabot-update-dotfiles;14.0;15.0-ocabot-update-dotfiles;15.0;16.0-ocabot-update-dotfiles;16.0;17.0;18.0;19.0;backup-18.0-20260406;gh-pages;oca-port-pr-387-from-13.0-to-14.0","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
server-backend,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-base_user_role_company;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
server-env,17.0-mig,no,yes,no,"17.0-mig;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-movement-sulamerica,main,no,no,no,"","",PARCIAL,50,HIGH,"main_sem_protecao;compliance_parcial;"
